County,Candidate,Party,Share,Votes
MONROE,"MCLAUGHLIN, MARIA",DEM,51.41%,"14,083"
MONROE,"BROBSON, KEVIN",REP,48.59%,"13,310"
MONTGOMERY,"MCLAUGHLIN, MARIA",DEM,58.87%,"121,864"
MONTGOMERY,"BROBSON, KEVIN",REP,41.13%,"85,153"
MONTOUR,"MCLAUGHLIN, MARIA",DEM,38.47%,"1,482"
MONTOUR,"BROBSON, KEVIN",REP,61.53%,"2,370"
NORTHAMPTON,"MCLAUGHLIN, MARIA",DEM,50.92%,"34,678"
NORTHAMPTON,"BROBSON, KEVIN",REP,49.08%,"33,428"
NORTHUMBERLAND,"MCLAUGHLIN, MARIA",DEM,33.64%,"5,324"
NORTHUMBERLAND,"BROBSON, KEVIN",REP,66.36%,"10,504"
PERRY,"MCLAUGHLIN, MARIA",DEM,22.15%,"2,182"
PERRY,"BROBSON, KEVIN",REP,77.85%,"7,670"
PHILADELPHIA,"MCLAUGHLIN, MARIA",DEM,81.11%,"152,150"
PHILADELPHIA,"BROBSON, KEVIN",REP,18.89%,"35,425"
PIKE,"MCLAUGHLIN, MARIA",DEM,39.30%,"4,940"
PIKE,"BROBSON, KEVIN",REP,60.70%,"7,629"
POTTER,"MCLAUGHLIN, MARIA",DEM,21.77%,908
POTTER,"BROBSON, KEVIN",REP,78.23%,"3,262"
SCHUYLKILL,"MCLAUGHLIN, MARIA",DEM,34.00%,"10,522"
SCHUYLKILL,"BROBSON, KEVIN",REP,66.00%,"20,427"
SNYDER,"MCLAUGHLIN, MARIA",DEM,24.83%,"2,021"
SNYDER,"BROBSON, KEVIN",REP,75.17%,"6,118"
SOMERSET,"MCLAUGHLIN, MARIA",DEM,25.77%,"4,832"
SOMERSET,"BROBSON, KEVIN",REP,74.23%,"13,918"
SULLIVAN,"MCLAUGHLIN, MARIA",DEM,28.93%,541
SULLIVAN,"BROBSON, KEVIN",REP,71.07%,"1,329"
SUSQUEHANNA,"MCLAUGHLIN, MARIA",DEM,29.34%,"2,459"
SUSQUEHANNA,"BROBSON, KEVIN",REP,70.66%,"5,922"
TIOGA,"MCLAUGHLIN, MARIA",DEM,17.98%,"1,373"
TIOGA,"BROBSON, KEVIN",REP,82.02%,"6,264"
UNION,"MCLAUGHLIN, MARIA",DEM,36.40%,"3,304"
UNION,"BROBSON, KEVIN",REP,63.60%,"5,773"
VENANGO,"MCLAUGHLIN, MARIA",DEM,32.52%,"3,183"
VENANGO,"BROBSON, KEVIN",REP,67.48%,"6,605"
WARREN,"MCLAUGHLIN, MARIA",DEM,34.06%,"2,735"
WARREN,"BROBSON, KEVIN",REP,65.94%,"5,294"
WASHINGTON,"MCLAUGHLIN, MARIA",DEM,41.56%,"20,729"
WASHINGTON,"BROBSON, KEVIN",REP,58.44%,"29,147"
WAYNE,"MCLAUGHLIN, MARIA",DEM,32.10%,"3,746"
WAYNE,"BROBSON, KEVIN",REP,67.90%,"7,923"
WESTMORELAND,"MCLAUGHLIN, MARIA",DEM,39.09%,"33,410"
WESTMORELAND,"BROBSON, KEVIN",REP,60.91%,"52,068"
WYOMING,"MCLAUGHLIN, MARIA",DEM,30.25%,"2,041"
WYOMING,"BROBSON, KEVIN",REP,69.75%,"4,706"
YORK,"MCLAUGHLIN, MARIA",DEM,36.07%,"30,173"
YORK,"BROBSON, KEVIN",REP,63.93%,"53,480"
