County,Candidate,Yes Share,No Share,Yes Votes,No Votes
ADAMS,"BENDER, JOHN T",66.18%,33.82%,"11,772","6,017"
ADAMS,"BOWES, MARY JANE",66.70%,33.30%,"11,820","5,902"
ALLEGHENY,"BENDER, JOHN T",62.12%,37.88%,"151,664","92,481"
ALLEGHENY,"BOWES, MARY JANE",63.97%,36.03%,"156,175","87,953"
ARMSTRONG,"BENDER, JOHN T",58.86%,41.14%,"6,687","4,674"
ARMSTRONG,"BOWES, MARY JANE",59.33%,40.67%,"6,715","4,604"
BEAVER,"BENDER, JOHN T",58.29%,41.71%,"18,806","13,456"
BEAVER,"BOWES, MARY JANE",58.58%,41.42%,"18,834","13,315"
BEDFORD,"BENDER, JOHN T",61.52%,38.48%,"4,717","2,950"
BEDFORD,"BOWES, MARY JANE",61.88%,38.12%,"4,745","2,923"
BERKS,"BENDER, JOHN T",63.43%,36.57%,"35,769","20,620"
BERKS,"BOWES, MARY JANE",64.30%,35.70%,"36,536","20,288"
BLAIR,"BENDER, JOHN T",69.98%,30.02%,"15,316","6,571"
BLAIR,"BOWES, MARY JANE",69.54%,30.46%,"15,015","6,578"
BRADFORD,"BENDER, JOHN T",67.09%,32.91%,"6,831","3,351"
BRADFORD,"BOWES, MARY JANE",69.63%,30.37%,"6,994","3,051"
BUCKS,"BENDER, JOHN T",60.73%,39.27%,"97,936","63,330"
BUCKS,"BOWES, MARY JANE",61.75%,38.25%,"99,207","61,451"
BUTLER,"BENDER, JOHN T",60.42%,39.58%,"22,030","14,430"
BUTLER,"BOWES, MARY JANE",60.74%,39.26%,"22,117","14,295"
CAMBRIA,"BENDER, JOHN T",61.70%,38.30%,"16,319","10,128"
CAMBRIA,"BOWES, MARY JANE",61.42%,38.58%,"16,191","10,168"
CAMERON,"BENDER, JOHN T",59.37%,40.63%,624,427
CAMERON,"BOWES, MARY JANE",60.42%,39.58%,626,410
CARBON,"BENDER, JOHN T",65.28%,34.72%,"7,347","3,907"
CARBON,"BOWES, MARY JANE",67.28%,32.72%,"7,550","3,672"
CENTRE,"BENDER, JOHN T",58.81%,41.19%,"16,999","11,907"
CENTRE,"BOWES, MARY JANE",60.34%,39.66%,"17,303","11,375"
CHESTER,"BENDER, JOHN T",55.78%,44.22%,"70,111","55,584"
CHESTER,"BOWES, MARY JANE",56.97%,43.03%,"71,589","54,064"
CLARION,"BENDER, JOHN T",61.82%,38.18%,"4,693","2,899"
CLARION,"BOWES, MARY JANE",62.29%,37.71%,"4,726","2,861"
CLEARFIELD,"BENDER, JOHN T",58.51%,41.49%,"8,863","6,285"
CLEARFIELD,"BOWES, MARY JANE",59.33%,40.67%,"8,957","6,139"
CLINTON,"BENDER, JOHN T",60.25%,39.75%,"3,653","2,410"
CLINTON,"BOWES, MARY JANE",62.57%,37.43%,"3,787","2,265"
COLUMBIA,"BENDER, JOHN T",61.48%,38.52%,"6,375","3,994"
COLUMBIA,"BOWES, MARY JANE",64.57%,35.43%,"6,649","3,649"
CRAWFORD,"BENDER, JOHN T",69.09%,30.91%,"9,920","4,439"
CRAWFORD,"BOWES, MARY JANE",70.79%,29.21%,"10,100","4,168"
CUMBERLAND,"BENDER, JOHN T",64.97%,35.03%,"32,719","17,645"
CUMBERLAND,"BOWES, MARY JANE",66.29%,33.71%,"33,241","16,904"
DAUPHIN,"BENDER, JOHN T",58.71%,41.29%,"29,804","20,962"
DAUPHIN,"BOWES, MARY JANE",60.57%,39.43%,"30,769","20,027"
DELAWARE,"BENDER, JOHN T",53.06%,46.94%,"64,899","57,424"
DELAWARE,"BOWES, MARY JANE",54.45%,45.55%,"66,279","55,453"
ELK,"BENDER, JOHN T",52.59%,47.41%,"3,579","3,226"
ELK,"BOWES, MARY JANE",54.93%,45.07%,"3,696","3,033"
ERIE,"BENDER, JOHN T",66.38%,33.62%,"37,119","18,798"
ERIE,"BOWES, MARY JANE",66.19%,33.81%,"36,532","18,661"
FAYETTE,"BENDER, JOHN T",61.60%,38.40%,"10,534","6,567"
FAYETTE,"BOWES, MARY JANE",62.63%,37.37%,"10,684","6,375"
FOREST,"BENDER, JOHN T",64.09%,35.91%,862,483
FOREST,"BOWES, MARY JANE",65.71%,34.29%,866,452
FRANKLIN,"BENDER, JOHN T",71.68%,28.32%,"18,806","7,429"
FRANKLIN,"BOWES, MARY JANE",71.13%,28.87%,"18,569","7,538"
FULTON,"BENDER, JOHN T",69.46%,30.54%,"1,722",757
FULTON,"BOWES, MARY JANE",67.96%,32.04%,"1,665",785
GREENE,"BENDER, JOHN T",57.26%,42.74%,"3,200","2,389"
GREENE,"BOWES, MARY JANE",58.44%,41.56%,"3,236","2,301"
HUNTINGDON,"BENDER, JOHN T",60.37%,39.63%,"4,619","3,032"
HUNTINGDON,"BOWES, MARY JANE",61.34%,38.66%,"4,686","2,953"
INDIANA,"BENDER, JOHN T",66.40%,33.60%,"12,300","6,223"
INDIANA,"BOWES, MARY JANE",65.98%,34.02%,"12,180","6,279"
JEFFERSON,"BENDER, JOHN T",61.84%,38.16%,"5,295","3,268"
JEFFERSON,"BOWES, MARY JANE",63.15%,36.85%,"5,394","3,148"
JUNIATA,"BENDER, JOHN T",67.56%,32.44%,"2,828","1,358"
JUNIATA,"BOWES, MARY JANE",65.69%,34.31%,"2,723","1,422"
LACKAWANNA,"BENDER, JOHN T",64.06%,35.94%,"25,318","14,205"
LACKAWANNA,"BOWES, MARY JANE",65.19%,34.81%,"25,703","13,726"
LANCASTER,"BENDER, JOHN T",72.44%,27.56%,"69,923","26,603"
LANCASTER,"BOWES, MARY JANE",73.13%,26.87%,"70,009","25,718"
LAWRENCE,"BENDER, JOHN T",67.93%,32.07%,"9,826","4,639"
LAWRENCE,"BOWES, MARY JANE",67.83%,32.17%,"9,822","4,658"
LEBANON,"BENDER, JOHN T",69.78%,30.22%,"15,771","6,829"
LEBANON,"BOWES, MARY JANE",69.35%,30.65%,"15,613","6,899"
LEHIGH,"BENDER, JOHN T",58.34%,41.66%,"34,164","24,397"
LEHIGH,"BOWES, MARY JANE",59.25%,40.75%,"34,454","23,697"
LUZERNE,"BENDER, JOHN T",64.85%,35.15%,"30,947","16,772"
LUZERNE,"BOWES, MARY JANE",64.77%,35.23%,"30,551","16,621"
LYCOMING,"BENDER, JOHN T",64.05%,35.95%,"12,161","6,827"
LYCOMING,"BOWES, MARY JANE",64.56%,35.44%,"12,204","6,700"
McKEAN,"BENDER, JOHN T",67.83%,32.17%,"4,279","2,029"
McKEAN,"BOWES, MARY JANE",69.98%,30.02%,"4,403","1,889"
MERCER,"BENDER, JOHN T",67.69%,32.31%,"13,693","6,537"
MERCER,"BOWES, MARY JANE",68.23%,31.77%,"13,716","6,386"
MIFFLIN,"BENDER, JOHN T",57.69%,42.31%,"4,073","2,987"
MIFFLIN,"BOWES, MARY JANE",56.97%,43.03%,"3,999","3,020"
MONROE,"BENDER, JOHN T",57.03%,42.97%,"13,243","9,979"
MONROE,"BOWES, MARY JANE",58.68%,41.32%,"13,569","9,554"
MONTGOMERY,"BENDER, JOHN T",60.79%,39.21%,"104,412","67,343"
MONTGOMERY,"BOWES, MARY JANE",62.82%,37.18%,"107,557","63,646"
MONTOUR,"BENDER, JOHN T",68.61%,31.39%,"2,297","1,051"
MONTOUR,"BOWES, MARY JANE",69.02%,30.98%,"2,295","1,030"
NORTHAMPTON,"BENDER, JOHN T",57.95%,42.05%,"31,036","22,524"
NORTHAMPTON,"BOWES, MARY JANE",59.10%,40.90%,"31,535","21,822"
NORTHUMBERLAND,"BENDER, JOHN T",66.23%,33.77%,"9,451","4,820"
NORTHUMBERLAND,"BOWES, MARY JANE",67.27%,32.73%,"9,530","4,637"
PERRY,"BENDER, JOHN T",71.12%,28.88%,"5,853","2,377"
PERRY,"BOWES, MARY JANE",68.22%,31.78%,"5,475","2,550"
PHILADELPHIA,"BENDER, JOHN T",62.73%,37.27%,"92,230","54,799"
PHILADELPHIA,"BOWES, MARY JANE",65.82%,34.18%,"95,979","49,849"
PIKE,"BENDER, JOHN T",65.49%,34.51%,"7,116","3,749"
PIKE,"BOWES, MARY JANE",66.16%,33.84%,"7,165","3,664"
POTTER,"BENDER, JOHN T",61.47%,38.53%,"2,288","1,434"
POTTER,"BOWES, MARY JANE",62.84%,37.16%,"2,308","1,365"
SCHUYLKILL,"BENDER, JOHN T",66.16%,33.84%,"17,267","8,830"
SCHUYLKILL,"BOWES, MARY JANE",66.55%,33.45%,"17,321","8,708"
SNYDER,"BENDER, JOHN T",65.93%,34.07%,"4,433","2,291"
SNYDER,"BOWES, MARY JANE",64.92%,35.08%,"4,337","2,344"
SOMERSET,"BENDER, JOHN T",61.90%,38.10%,"10,092","6,211"
SOMERSET,"BOWES, MARY JANE",61.98%,38.02%,"10,068","6,175"
SULLIVAN,"BENDER, JOHN T",61.57%,38.43%,873,545
SULLIVAN,"BOWES, MARY JANE",61.86%,38.14%,863,532
SUSQUEHANNA,"BENDER, JOHN T",67.72%,32.28%,"5,040","2,402"
SUSQUEHANNA,"BOWES, MARY JANE",69.20%,30.80%,"5,100","2,270"
TIOGA,"BENDER, JOHN T",64.75%,35.25%,"4,108","2,236"
TIOGA,"BOWES, MARY JANE",65.85%,34.15%,"4,154","2,154"
UNION,"BENDER, JOHN T",65.99%,34.01%,"5,079","2,618"
UNION,"BOWES, MARY JANE",67.04%,32.96%,"5,064","2,490"
VENANGO,"BENDER, JOHN T",64.47%,35.53%,"5,462","3,010"
VENANGO,"BOWES, MARY JANE",65.62%,34.38%,"5,543","2,904"
WARREN,"BENDER, JOHN T",66.28%,33.72%,"4,548","2,314"
WARREN,"BOWES, MARY JANE",68.00%,32.00%,"4,640","2,184"
WASHINGTON,"BENDER, JOHN T",56.15%,43.85%,"23,791","18,579"
WASHINGTON,"BOWES, MARY JANE",56.46%,43.54%,"23,736","18,305"
WAYNE,"BENDER, JOHN T",63.21%,36.79%,"5,951","3,464"
WAYNE,"BOWES, MARY JANE",64.25%,35.75%,"6,030","3,355"
WESTMORELAND,"BENDER, JOHN T",66.84%,33.16%,"49,553","24,579"
WESTMORELAND,"BOWES, MARY JANE",66.49%,33.51%,"48,701","24,543"
WYOMING,"BENDER, JOHN T",62.81%,37.19%,"3,586","2,123"
WYOMING,"BOWES, MARY JANE",63.26%,36.74%,"3,600","2,091"
YORK,"BENDER, JOHN T",67.49%,32.51%,"44,979","21,669"
YORK,"BOWES, MARY JANE",67.85%,32.15%,"45,165","21,405"
