County,Candidate,Yes Share,No Share,Yes Votes,No Votes
ADAMS,"BENDER, JOHN T",66.19%,33.81%,"11,752","6,004"
ADAMS,"BOWES, MARY JANE",66.70%,33.30%,"11,799","5,891"
ALLEGHENY,"BENDER, JOHN T",61.90%,38.10%,"115,248","70,931"
ALLEGHENY,"BOWES, MARY JANE",63.84%,36.16%,"118,854","67,326"
ARMSTRONG,"BENDER, JOHN T",58.48%,41.52%,"5,393","3,829"
ARMSTRONG,"BOWES, MARY JANE",58.85%,41.15%,"5,407","3,780"
BEAVER,"BENDER, JOHN T",58.31%,41.69%,"18,726","13,390"
BEAVER,"BOWES, MARY JANE",58.61%,41.39%,"18,756","13,248"
BEDFORD,"BENDER, JOHN T",61.52%,38.48%,"4,717","2,950"
BEDFORD,"BOWES, MARY JANE",61.88%,38.12%,"4,745","2,923"
BERKS,"BENDER, JOHN T",63.47%,36.53%,"31,624","18,201"
BERKS,"BOWES, MARY JANE",64.34%,35.66%,"32,321","17,912"
BLAIR,"BENDER, JOHN T",70.48%,29.52%,"11,820","4,951"
BLAIR,"BOWES, MARY JANE",69.90%,30.10%,"11,570","4,983"
BRADFORD,"BENDER, JOHN T",67.12%,32.88%,"6,811","3,337"
BRADFORD,"BOWES, MARY JANE",69.66%,30.34%,"6,973","3,037"
BUCKS,"BENDER, JOHN T",58.77%,41.23%,"21,784","15,284"
BUCKS,"BOWES, MARY JANE",60.11%,39.89%,"22,177","14,719"
BUTLER,"BENDER, JOHN T",0.00%,0.00%,0,0
BUTLER,"BOWES, MARY JANE",0.00%,0.00%,0,0
CAMBRIA,"BENDER, JOHN T",62.06%,37.94%,"11,420","6,983"
CAMBRIA,"BOWES, MARY JANE",61.42%,38.58%,"11,271","7,081"
CAMERON,"BENDER, JOHN T",59.33%,40.67%,623,427
CAMERON,"BOWES, MARY JANE",60.39%,39.61%,625,410
CARBON,"BENDER, JOHN T",65.28%,34.72%,"7,347","3,907"
CARBON,"BOWES, MARY JANE",67.28%,32.72%,"7,550","3,672"
CENTRE,"BENDER, JOHN T",61.12%,38.88%,"10,941","6,960"
CENTRE,"BOWES, MARY JANE",62.42%,37.58%,"11,069","6,664"
CHESTER,"BENDER, JOHN T",61.28%,38.72%,"30,104","19,020"
CHESTER,"BOWES, MARY JANE",62.16%,37.84%,"30,502","18,565"
CLARION,"BENDER, JOHN T",62.13%,37.87%,"4,215","2,569"
CLARION,"BOWES, MARY JANE",62.76%,37.24%,"4,257","2,526"
CLEARFIELD,"BENDER, JOHN T",58.51%,41.49%,"8,863","6,285"
CLEARFIELD,"BOWES, MARY JANE",59.33%,40.67%,"8,957","6,139"
CLINTON,"BENDER, JOHN T",60.58%,39.42%,"3,521","2,291"
CLINTON,"BOWES, MARY JANE",62.84%,37.16%,"3,644","2,155"
COLUMBIA,"BENDER, JOHN T",0.00%,0.00%,0,0
COLUMBIA,"BOWES, MARY JANE",0.00%,0.00%,0,0
CRAWFORD,"BENDER, JOHN T",70.33%,29.67%,"4,832","2,038"
CRAWFORD,"BOWES, MARY JANE",71.66%,28.34%,"4,894","1,935"
CUMBERLAND,"BENDER, JOHN T",66.55%,33.45%,"23,919","12,022"
CUMBERLAND,"BOWES, MARY JANE",67.27%,32.73%,"23,993","11,675"
DAUPHIN,"BENDER, JOHN T",56.39%,43.61%,"16,929","13,091"
DAUPHIN,"BOWES, MARY JANE",58.97%,41.03%,"17,730","12,334"
DELAWARE,"BENDER, JOHN T",0.00%,0.00%,0,0
DELAWARE,"BOWES, MARY JANE",0.00%,0.00%,0,0
ELK,"BENDER, JOHN T",52.58%,47.42%,"3,554","3,205"
ELK,"BOWES, MARY JANE",54.88%,45.12%,"3,667","3,015"
ERIE,"BENDER, JOHN T",66.56%,33.44%,"24,581","12,352"
ERIE,"BOWES, MARY JANE",66.38%,33.62%,"24,235","12,273"
FAYETTE,"BENDER, JOHN T",61.54%,38.46%,"9,837","6,148"
FAYETTE,"BOWES, MARY JANE",62.44%,37.56%,"9,953","5,986"
FOREST,"BENDER, JOHN T",64.09%,35.91%,862,483
FOREST,"BOWES, MARY JANE",65.71%,34.29%,866,452
FRANKLIN,"BENDER, JOHN T",74.10%,25.90%,"15,549","5,435"
FRANKLIN,"BOWES, MARY JANE",72.95%,27.05%,"15,214","5,641"
FULTON,"BENDER, JOHN T",0.00%,0.00%,0,0
FULTON,"BOWES, MARY JANE",0.00%,0.00%,0,0
GREENE,"BENDER, JOHN T",57.26%,42.74%,"3,200","2,389"
GREENE,"BOWES, MARY JANE",58.44%,41.56%,"3,236","2,301"
HUNTINGDON,"BENDER, JOHN T",60.39%,39.61%,"4,616","3,028"
HUNTINGDON,"BOWES, MARY JANE",61.36%,38.64%,"4,683","2,949"
INDIANA,"BENDER, JOHN T",67.08%,32.92%,"9,169","4,500"
INDIANA,"BOWES, MARY JANE",66.20%,33.80%,"9,005","4,597"
JEFFERSON,"BENDER, JOHN T",61.85%,38.15%,"5,290","3,263"
JEFFERSON,"BOWES, MARY JANE",63.16%,36.84%,"5,389","3,143"
JUNIATA,"BENDER, JOHN T",67.56%,32.44%,"2,828","1,358"
JUNIATA,"BOWES, MARY JANE",65.69%,34.31%,"2,723","1,422"
LACKAWANNA,"BENDER, JOHN T",64.07%,35.93%,"25,253","14,164"
LACKAWANNA,"BOWES, MARY JANE",65.20%,34.80%,"25,638","13,685"
LANCASTER,"BENDER, JOHN T",0.00%,0.00%,0,0
LANCASTER,"BOWES, MARY JANE",0.00%,0.00%,0,0
