County,Candidate,Yes Share,No Share,Yes Votes,No Votes
ADAMS,"BENDER, JOHN T",66.19%,33.81%,"11,752","6,004"
ADAMS,"BOWES, MARY JANE",66.70%,33.30%,"11,799","5,891"
ALLEGHENY,"BENDER, JOHN T",62.14%,37.86%,"150,506","91,693"
ALLEGHENY,"BOWES, MARY JANE",63.98%,36.02%,"154,958","87,227"
ARMSTRONG,"BENDER, JOHN T",58.86%,41.14%,"6,687","4,674"
ARMSTRONG,"BOWES, MARY JANE",59.33%,40.67%,"6,715","4,604"
BEAVER,"BENDER, JOHN T",58.28%,41.72%,"18,759","13,429"
BEAVER,"BOWES, MARY JANE",58.58%,41.42%,"18,791","13,285"
BEDFORD,"BENDER, JOHN T",61.52%,38.48%,"4,717","2,950"
BEDFORD,"BOWES, MARY JANE",61.88%,38.12%,"4,745","2,923"
BERKS,"BENDER, JOHN T",63.65%,36.35%,"35,076","20,029"
BERKS,"BOWES, MARY JANE",64.44%,35.56%,"35,787","19,747"
BLAIR,"BENDER, JOHN T",69.98%,30.02%,"15,316","6,571"
BLAIR,"BOWES, MARY JANE",69.54%,30.46%,"15,015","6,578"
BRADFORD,"BENDER, JOHN T",67.12%,32.88%,"6,811","3,337"
BRADFORD,"BOWES, MARY JANE",69.66%,30.34%,"6,973","3,037"
BUCKS,"BENDER, JOHN T",60.74%,39.26%,"97,787","63,212"
BUCKS,"BOWES, MARY JANE",61.76%,38.24%,"99,059","61,330"
BUTLER,"BENDER, JOHN T",60.42%,39.58%,"22,030","14,430"
BUTLER,"BOWES, MARY JANE",60.74%,39.26%,"22,117","14,295"
CAMBRIA,"BENDER, JOHN T",61.70%,38.30%,"16,291","10,111"
CAMBRIA,"BOWES, MARY JANE",61.43%,38.57%,"16,164","10,151"
CAMERON,"BENDER, JOHN T",59.33%,40.67%,623,427
CAMERON,"BOWES, MARY JANE",60.39%,39.61%,625,410
CARBON,"BENDER, JOHN T",65.28%,34.72%,"7,347","3,907"
CARBON,"BOWES, MARY JANE",67.28%,32.72%,"7,550","3,672"
CENTRE,"BENDER, JOHN T",58.92%,41.08%,"16,696","11,643"
CENTRE,"BOWES, MARY JANE",60.45%,39.55%,"16,992","11,118"
CHESTER,"BENDER, JOHN T",57.12%,42.88%,"66,583","49,985"
CHESTER,"BOWES, MARY JANE",58.26%,41.74%,"67,892","48,634"
CLARION,"BENDER, JOHN T",61.82%,38.18%,"4,693","2,899"
CLARION,"BOWES, MARY JANE",62.29%,37.71%,"4,726","2,861"
CLEARFIELD,"BENDER, JOHN T",58.51%,41.49%,"8,863","6,285"
CLEARFIELD,"BOWES, MARY JANE",59.33%,40.67%,"8,957","6,139"
CLINTON,"BENDER, JOHN T",60.22%,39.78%,"3,646","2,408"
CLINTON,"BOWES, MARY JANE",62.55%,37.45%,"3,780","2,263"
COLUMBIA,"BENDER, JOHN T",61.48%,38.52%,"6,375","3,994"
COLUMBIA,"BOWES, MARY JANE",64.57%,35.43%,"6,649","3,649"
CRAWFORD,"BENDER, JOHN T",69.09%,30.91%,"9,920","4,439"
CRAWFORD,"BOWES, MARY JANE",70.79%,29.21%,"10,100","4,168"
CUMBERLAND,"BENDER, JOHN T",64.97%,35.03%,"32,719","17,645"
CUMBERLAND,"BOWES, MARY JANE",66.29%,33.71%,"33,241","16,904"
DAUPHIN,"BENDER, JOHN T",58.69%,41.31%,"29,653","20,874"
DAUPHIN,"BOWES, MARY JANE",60.54%,39.46%,"30,600","19,941"
DELAWARE,"BENDER, JOHN T",53.97%,46.03%,"61,699","52,617"
DELAWARE,"BOWES, MARY JANE",55.29%,44.71%,"62,881","50,855"
ELK,"BENDER, JOHN T",52.56%,47.44%,"3,566","3,219"
ELK,"BOWES, MARY JANE",54.88%,45.12%,"3,682","3,027"
ERIE,"BENDER, JOHN T",66.38%,33.62%,"36,944","18,710"
ERIE,"BOWES, MARY JANE",66.19%,33.81%,"36,361","18,570"
FAYETTE,"BENDER, JOHN T",61.54%,38.46%,"9,837","6,148"
FAYETTE,"BOWES, MARY JANE",62.44%,37.56%,"9,953","5,986"
FOREST,"BENDER, JOHN T",64.09%,35.91%,862,483
FOREST,"BOWES, MARY JANE",65.71%,34.29%,866,452
FRANKLIN,"BENDER, JOHN T",71.68%,28.32%,"18,806","7,429"
FRANKLIN,"BOWES, MARY JANE",71.13%,28.87%,"18,569","7,538"
FULTON,"BENDER, JOHN T",69.44%,30.56%,"1,720",757
FULTON,"BOWES, MARY JANE",67.93%,32.07%,"1,663",785
GREENE,"BENDER, JOHN T",57.26%,42.74%,"3,200","2,389"
GREENE,"BOWES, MARY JANE",58.44%,41.56%,"3,236","2,301"
HUNTINGDON,"BENDER, JOHN T",60.39%,39.61%,"4,616","3,028"
HUNTINGDON,"BOWES, MARY JANE",61.36%,38.64%,"4,683","2,949"
INDIANA,"BENDER, JOHN T",66.40%,33.60%,"12,300","6,223"
INDIANA,"BOWES, MARY JANE",65.98%,34.02%,"12,180","6,279"
JEFFERSON,"BENDER, JOHN T",61.84%,38.16%,"5,295","3,268"
JEFFERSON,"BOWES, MARY JANE",63.15%,36.85%,"5,394","3,148"
JUNIATA,"BENDER, JOHN T",67.56%,32.44%,"2,828","1,358"
JUNIATA,"BOWES, MARY JANE",65.69%,34.31%,"2,723","1,422"
LACKAWANNA,"BENDER, JOHN T",64.07%,35.93%,"25,253","14,164"
LACKAWANNA,"BOWES, MARY JANE",65.20%,34.80%,"25,638","13,685"
