County,Candidate,Party,Share,Votes
ADAMS,"DUMAS, LORI A",DEM,18.43%,"7,083"
ADAMS,"SPURGEON, DAVID LEE",DEM,16.38%,"6,295"
ADAMS,"WALLACE, STACY MARIE",REP,33.27%,"12,788"
ADAMS,"CROMPTON, DREW",REP,31.93%,"12,274"
ALLEGHENY,"DUMAS, LORI A",DEM,31.64%,"169,579"
ALLEGHENY,"SPURGEON, DAVID LEE",DEM,30.22%,"161,955"
ALLEGHENY,"WALLACE, STACY MARIE",REP,19.50%,"104,500"
ALLEGHENY,"CROMPTON, DREW",REP,18.65%,"99,935"
ARMSTRONG,"DUMAS, LORI A",DEM,10.32%,"2,084"
ARMSTRONG,"SPURGEON, DAVID LEE",DEM,9.47%,"1,911"
ARMSTRONG,"WALLACE, STACY MARIE",REP,41.57%,"8,392"
ARMSTRONG,"CROMPTON, DREW",REP,38.64%,"7,800"
BEAVER,"DUMAS, LORI A",DEM,22.81%,"15,329"
BEAVER,"SPURGEON, DAVID LEE",DEM,20.69%,"13,909"
BEAVER,"WALLACE, STACY MARIE",REP,29.34%,"19,721"
BEAVER,"CROMPTON, DREW",REP,27.16%,"18,255"
BEDFORD,"DUMAS, LORI A",DEM,10.63%,"1,774"
BEDFORD,"SPURGEON, DAVID LEE",DEM,9.31%,"1,554"
BEDFORD,"WALLACE, STACY MARIE",REP,41.75%,"6,970"
BEDFORD,"CROMPTON, DREW",REP,38.32%,"6,398"
BERKS,"DUMAS, LORI A",DEM,21.83%,"28,520"
BERKS,"SPURGEON, DAVID LEE",DEM,19.15%,"25,016"
BERKS,"WALLACE, STACY MARIE",REP,30.39%,"39,706"
BERKS,"CROMPTON, DREW",REP,28.63%,"37,410"
BLAIR,"DUMAS, LORI A",DEM,11.32%,"4,688"
BLAIR,"SPURGEON, DAVID LEE",DEM,10.00%,"4,140"
BLAIR,"WALLACE, STACY MARIE",REP,40.46%,"16,760"
BLAIR,"CROMPTON, DREW",REP,38.22%,"15,831"
BRADFORD,"DUMAS, LORI A",DEM,13.79%,"2,919"
BRADFORD,"SPURGEON, DAVID LEE",DEM,11.97%,"2,533"
BRADFORD,"WALLACE, STACY MARIE",REP,38.78%,"8,207"
BRADFORD,"CROMPTON, DREW",REP,35.46%,"7,503"
BUCKS,"DUMAS, LORI A",DEM,24.98%,"85,373"
BUCKS,"SPURGEON, DAVID LEE",DEM,22.11%,"75,555"
BUCKS,"WALLACE, STACY MARIE",REP,26.99%,"92,218"
BUCKS,"CROMPTON, DREW",REP,25.92%,"88,560"
BUTLER,"DUMAS, LORI A",DEM,17.48%,"13,975"
BUTLER,"SPURGEON, DAVID LEE",DEM,16.08%,"12,861"
BUTLER,"WALLACE, STACY MARIE",REP,33.98%,"27,171"
BUTLER,"CROMPTON, DREW",REP,32.47%,"25,962"
CAMBRIA,"DUMAS, LORI A",DEM,18.63%,"10,061"
CAMBRIA,"SPURGEON, DAVID LEE",DEM,16.19%,"8,745"
CAMBRIA,"WALLACE, STACY MARIE",REP,34.34%,"18,545"
CAMBRIA,"CROMPTON, DREW",REP,30.84%,"16,654"
CAMERON,"DUMAS, LORI A",DEM,13.65%,297
CAMERON,"SPURGEON, DAVID LEE",DEM,10.94%,238
CAMERON,"WALLACE, STACY MARIE",REP,39.52%,860
CAMERON,"CROMPTON, DREW",REP,35.89%,781
CARBON,"DUMAS, LORI A",DEM,18.73%,"4,448"
CARBON,"SPURGEON, DAVID LEE",DEM,16.08%,"3,818"
CARBON,"WALLACE, STACY MARIE",REP,34.35%,"8,156"
CARBON,"CROMPTON, DREW",REP,30.84%,"7,322"
CENTRE,"DUMAS, LORI A",DEM,25.25%,"15,238"
CENTRE,"SPURGEON, DAVID LEE",DEM,23.57%,"14,226"
CENTRE,"WALLACE, STACY MARIE",REP,26.62%,"16,068"
CENTRE,"CROMPTON, DREW",REP,24.57%,"14,828"
CHESTER,"DUMAS, LORI A",DEM,26.50%,"64,882"
CHESTER,"SPURGEON, DAVID LEE",DEM,23.64%,"57,874"
CHESTER,"WALLACE, STACY MARIE",REP,25.30%,"61,956"
