County,Candidate,Yes Share,No Share,Yes Votes,No Votes
ADAMS,"BENDER, JOHN T",66.19%,33.81%,"11,752","6,004"
ADAMS,"BOWES, MARY JANE",66.70%,33.30%,"11,799","5,891"
ALLEGHENY,"BENDER, JOHN T",62.19%,37.81%,"138,686","84,317"
ALLEGHENY,"BOWES, MARY JANE",64.05%,35.95%,"142,850","80,170"
ARMSTRONG,"BENDER, JOHN T",58.48%,41.52%,"5,393","3,829"
ARMSTRONG,"BOWES, MARY JANE",58.85%,41.15%,"5,407","3,780"
BEAVER,"BENDER, JOHN T",58.31%,41.69%,"18,726","13,390"
BEAVER,"BOWES, MARY JANE",58.61%,41.39%,"18,756","13,248"
BEDFORD,"BENDER, JOHN T",61.52%,38.48%,"4,717","2,950"
BEDFORD,"BOWES, MARY JANE",61.88%,38.12%,"4,745","2,923"
BERKS,"BENDER, JOHN T",63.47%,36.53%,"31,624","18,201"
BERKS,"BOWES, MARY JANE",64.34%,35.66%,"32,321","17,912"
BLAIR,"BENDER, JOHN T",70.76%,29.24%,"13,741","5,679"
BLAIR,"BOWES, MARY JANE",69.98%,30.02%,"13,395","5,745"
BRADFORD,"BENDER, JOHN T",67.12%,32.88%,"6,811","3,337"
BRADFORD,"BOWES, MARY JANE",69.66%,30.34%,"6,973","3,037"
BUCKS,"BENDER, JOHN T",61.41%,38.59%,"40,048","25,164"
BUCKS,"BOWES, MARY JANE",62.50%,37.50%,"40,568","24,342"
BUTLER,"BENDER, JOHN T",0.00%,0.00%,0,0
BUTLER,"BOWES, MARY JANE",0.00%,0.00%,0,0
CAMBRIA,"BENDER, JOHN T",61.70%,38.30%,"16,291","10,111"
CAMBRIA,"BOWES, MARY JANE",61.43%,38.57%,"16,164","10,151"
CAMERON,"BENDER, JOHN T",59.33%,40.67%,623,427
CAMERON,"BOWES, MARY JANE",60.39%,39.61%,625,410
CARBON,"BENDER, JOHN T",65.28%,34.72%,"7,347","3,907"
CARBON,"BOWES, MARY JANE",67.28%,32.72%,"7,550","3,672"
CENTRE,"BENDER, JOHN T",59.29%,40.71%,"16,053","11,021"
CENTRE,"BOWES, MARY JANE",60.82%,39.18%,"16,326","10,519"
CHESTER,"BENDER, JOHN T",62.06%,37.94%,"55,745","34,079"
CHESTER,"BOWES, MARY JANE",62.88%,37.12%,"56,430","33,309"
CLARION,"BENDER, JOHN T",61.66%,38.34%,"4,562","2,837"
CLARION,"BOWES, MARY JANE",62.23%,37.77%,"4,602","2,793"
CLEARFIELD,"BENDER, JOHN T",58.51%,41.49%,"8,863","6,285"
CLEARFIELD,"BOWES, MARY JANE",59.33%,40.67%,"8,957","6,139"
CLINTON,"BENDER, JOHN T",60.58%,39.42%,"3,521","2,291"
CLINTON,"BOWES, MARY JANE",62.84%,37.16%,"3,644","2,155"
COLUMBIA,"BENDER, JOHN T",61.46%,38.54%,126,79
COLUMBIA,"BOWES, MARY JANE",62.24%,37.76%,122,74
CRAWFORD,"BENDER, JOHN T",70.33%,29.67%,"4,832","2,038"
CRAWFORD,"BOWES, MARY JANE",71.66%,28.34%,"4,894","1,935"
CUMBERLAND,"BENDER, JOHN T",66.12%,33.88%,"24,897","12,755"
CUMBERLAND,"BOWES, MARY JANE",66.93%,33.07%,"25,020","12,365"
DAUPHIN,"BENDER, JOHN T",58.69%,41.31%,"29,653","20,874"
DAUPHIN,"BOWES, MARY JANE",60.54%,39.46%,"30,600","19,941"
DELAWARE,"BENDER, JOHN T",54.34%,45.66%,"39,015","32,778"
DELAWARE,"BOWES, MARY JANE",55.52%,44.48%,"39,670","31,779"
ELK,"BENDER, JOHN T",52.58%,47.42%,"3,554","3,205"
ELK,"BOWES, MARY JANE",54.88%,45.12%,"3,667","3,015"
ERIE,"BENDER, JOHN T",66.56%,33.44%,"24,581","12,352"
ERIE,"BOWES, MARY JANE",66.38%,33.62%,"24,235","12,273"
FAYETTE,"BENDER, JOHN T",61.54%,38.46%,"9,837","6,148"
FAYETTE,"BOWES, MARY JANE",62.44%,37.56%,"9,953","5,986"
FOREST,"BENDER, JOHN T",64.09%,35.91%,862,483
FOREST,"BOWES, MARY JANE",65.71%,34.29%,866,452
FRANKLIN,"BENDER, JOHN T",74.10%,25.90%,"15,549","5,435"
FRANKLIN,"BOWES, MARY JANE",72.95%,27.05%,"15,214","5,641"
FULTON,"BENDER, JOHN T",67.93%,32.07%,"1,663",785
FULTON,"BOWES, MARY JANE",69.44%,30.56%,"1,720",757
GREENE,"BENDER, JOHN T",57.26%,42.74%,"3,200","2,389"
GREENE,"BOWES, MARY JANE",58.44%,41.56%,"3,236","2,301"
HUNTINGDON,"BENDER, JOHN T",60.39%,39.61%,"4,616","3,028"
HUNTINGDON,"BOWES, MARY JANE",61.36%,38.64%,"4,683","2,949"
INDIANA,"BENDER, JOHN T",66.40%,33.60%,"12,300","6,223"
INDIANA,"BOWES, MARY JANE",65.98%,34.02%,"12,180","6,279"
JEFFERSON,"BENDER, JOHN T",61.85%,38.15%,"5,290","3,263"
JEFFERSON,"BOWES, MARY JANE",63.16%,36.84%,"5,389","3,143"
JUNIATA,"BENDER, JOHN T",67.56%,32.44%,"2,828","1,358"
JUNIATA,"BOWES, MARY JANE",65.69%,34.31%,"2,723","1,422"
LACKAWANNA,"BENDER, JOHN T",64.07%,35.93%,"25,253","14,164"
LACKAWANNA,"BOWES, MARY JANE",65.20%,34.80%,"25,638","13,685"
LANCASTER,"BENDER, JOHN T",0.00%,0.00%,0,0
